Zip Code,Case Count
Zip Code,Case Count
91901,1
91902,16
91905,1
91910,48
91911,56
91913,34
91914,8
91915,20
91916,1
91932,10
91935,4
91941,12
91942,26
91945,15
91950,37
91977,39
91978,6
92003,1
92004,1
92007,4
92008,9
92009,17
92010,13
92011,9
92014,13
92019,41
92020,60
92021,58
92024,30
92025,22
92026,10
92027,18
92028,9
92029,12
92037,34
92040,14
92054,8
92056,12
92057,10
92058,8
92061,2
92064,18
92065,10
92066,2
92067,12
92069,10
92071,17
92075,4
Zip Code,Case Count
92078,14
92081,13
92082,3
92083,10
92084,12
92091,2
92093,4
92101,40
92102,22
92103,72
92104,40
92105,49
92106,9
92107,5
92108,20
92109,29
92110,18
92111,21
92113,44
92114,48
92115,36
92116,36
92117,23
92118,5
92119,12
92120,21
92121,3
92122,15
92123,17
92124,15
92126,33
92127,20
92128,28
92129,19
92130,24
92131,6
92136,3
92139,29
92154,65
92161,2
92173,25
TOTAL,1761
