County of San Diego,Count,Percentage** of Overall Total
Incorporated City,"1,516",86.1%
Carlsbad,48,2.7%
Chula Vista,170,9.7%
Coronado,5,0.3%
Del Mar,8,0.5%
El Cajon,105,6.0%
Encinitas,34,1.9%
Escondido,50,2.8%
Imperial Beach,10,0.6%
La Mesa,34,1.9%
Lemon Grove,15,0.9%
National City,37,2.1%
Oceanside,36,2.0%
Poway,18,1.0%
San Diego,874,49.6%
San Marcos,21,1.2%
Santee,18,1.0%
Solana Beach,5,0.3%
Vista,28,1.6%
Unincorporated,227,12.9%
Alpine,1,0.1%
Bonita,13,0.7%
Bonsall,1,0.1%
Borrego Springs,1,0.1%
Boulevard,1,0.1%
Descanso,1,0.1%
Fallbrook,9,0.5%
Jamul,4,0.2%
Lakeside,14,0.8%
Pauma Valley,2,0.1%
Ramona,10,0.6%
Ranchita,2,0.1%
Rancho Santa Fe,14,0.8%
Spring Valley,45,2.6%
Valley Center,3,0.2%
Other,106,6.0%
Unknown*,18,1.0%
Total San Diego County Residents,"1,761",100.0%
