County of San Diego,Count,Percentage** of Overall Total
Incorporated City,"1,786",85.6%
Carlsbad,50,2.4%
Chula Vista,227,10.9%
Coronado,6,0.3%
Del Mar,11,0.5%
El Cajon,119,5.7%
Encinitas,34,1.6%
Escondido,60,2.9%
Imperial Beach,12,0.6%
La Mesa,42,2.0%
Lemon Grove,18,0.9%
National City,57,2.7%
Oceanside,48,2.3%
Poway,19,0.9%
San Diego,998,47.8%
San Marcos,26,1.2%
Santee,22,1.1%
Solana Beach,6,0.3%
Vista,31,1.5%
Unincorporated,273,13.1%
Alpine,2,0.1%
Bonita,14,0.7%
Bonsall,1,0.0%
Borrego Springs,1,0.0%
Boulevard,1,0.0%
Campo,1,0.0%
Descanso,1,0.0%
Fallbrook,10,0.5%
Jamul,6,0.3%
Lakeside,15,0.7%
Pauma Valley,2,0.1%
Potrero,1,0.0%
Ramona,11,0.5%
Ranchita,2,0.1%
Rancho Santa Fe,14,0.7%
Spring Valley,54,2.6%
Valley Center,4,0.2%
Other,133,6.4%
Unknown*,28,1.3%
Total San Diego County Residents,"2,087",100.0%
