Zip Code,Count
91901,2
91902,18
91905,1
91910,66
91911,83
91913,40
91914,14
91915,27
91916,1
91932,14
91935,6
91941,16
91942,33
91945,18
91950,60
91963,1
91977,50
91978,6
92003,1
92004,1
92007,4
92008,9
92009,18
92010,13
92011,10
92014,16
92019,50
92020,68
92021,69
92024,30
92025,25
92026,11
92027,28
92028,9
92029,13
92037,34
92040,18
92054,12
92056,14
92057,14
92058,10
92061,2
92064,20
92065,11
92066,2
92067,12
92069,13
92071,22
92075,5
92078,17
92081,13
92082,4
92083,10
92084,16
92091,2
92093,4
92101,43
92102,26
92103,77
92104,45
92105,59
92106,9
92107,6
92108,28
92109,29
92110,23
92111,25
92113,61
92114,61
92115,42
92116,39
92117,24
92118,6
92119,12
92120,21
92121,3
92122,16
92123,18
92124,15
92126,39
92127,24
92128,38
92129,21
92130,26
92131,10
92136,3
92139,34
92140,12
92154,92
92161,1
92173,43
Unknown,41
Total,2158
