County of San Diego,Count,Percentage** of Overall Total
Incorporated City,1054,87.2%
Carlsbad,39,3.2%
Chula Vista,86,7.1%
Coronado,4,0.3%
Del Mar,7,0.6%
El Cajon,67,5.5%
Encinitas,27,2.2%
Escondido,27,2.2%
Imperial Beach,3,0.2%
La Mesa,18,1.5%
Lemon Grove,13,1.1%
National City,18,1.5%
Oceanside,29,2.4%
Poway,13,1.1%
San Diego,649,53.7%
San Marcos,17,1.4%
Santee,15,1.2%
Solana Beach,5,0.4%
Vista,17,1.4%
Unincorporated,136,11.2%
Alpine,1,0.1%
Bonita,8,0.7%
Borrego Springs,1,0.1%
Descanso,1,0.1%
Fallbrook,6,0.5%
Jamul,1,0.1%
Lakeside,9,0.7%
Pauma Valley,2,0.2%
Ramona,7,0.6%
Ranchita,2,0.2%
Rancho Santa Fe,14,1.2%
Spring Valley,27,2.2%
Valley Center,3,0.2%
Other,54,4.5%
Unknown*,19,1.6%
Total San Diego County Residents,1209,100.0%
