County of San Diego,Count,Percentage* of Overall Total,"Rate per 100,000 population**"
Incorporated City,"2,247",85.0%,79.6
Carlsbad,50,1.9%,43.6
Chula Vista,311,11.8%,116.3
Coronado,7,0.3%,32.3
Del Mar,11,0.4%,***
El Cajon,152,5.8%,144.0
Encinitas,34,1.3%,53.8
Escondido,75,2.8%,49.5
Imperial Beach,18,0.7%,63.9
La Mesa,65,2.5%,106.1
Lemon Grove,25,0.9%,93.2
National City,79,3.0%,126.9
Oceanside,57,2.2%,32.1
Poway,23,0.9%,45.8
San Diego,"1,238",46.8%,87.2
San Marcos,27,1.0%,28.2
Santee,29,1.1%,50.9
Solana Beach,6,0.2%,43.0
Vista,40,1.5%,38.7
Unincorporated,371,14.0%,72.3
Alpine,3,0.1%,***
Bonita,20,0.8%,159.5
Bonsall,1,0.0%,***
Borrego Springs,1,0.0%,***
Boulevard,2,0.1%,***
Campo,0,0.0%,***
Descanso,1,0.0%,***
Fallbrook,12,0.5%,39.3
Jamul,6,0.2%,***
Julian,2,0.1%,***
Lakeside,21,0.8%,101.7
Pala,2,0.1%,***
Pauma Valley,2,0.1%,***
Potrero,2,0.1%,***
Ramona,14,0.5%,69.0
Ranchita,2,0.1%,***
Rancho Santa Fe,14,0.5%,***
Spring Valley,72,2.7%,255.3
Tecate,1,0.0%,***
Valley Center,5,0.2%,***
Other,188,7.1%,
Unknown****,25,0.9%,
Total San Diego County,"2,643",100.0%,79.2
