Zip Code,Case Count
91901,1
91902,14
91909,1
91910,34
91911,35
91913,26
91914,6
91915,14
91916,1
91932,7
91935,3
91941,8
91942,19
91945,14
91950,25
91977,30
91978,4
92004,1
92007,4
92008,8
92009,17
92010,9
92011,8
92014,13
92019,32
92020,47
92021,42
92024,26
92025,13
92026,9
92027,9
92028,6
92029,11
92037,32
92039,1
92040,14
92054,8
92056,11
92057,8
92058,6
92061,2
92064,15
92065,9
92066,2
92067,12
92069,10
92071,15
92075,4
92078,12
92081,10
92082,3
92083,6
92084,10
92085,1
92091,2
92093,4
92101,37
92102,20
92103,67
92104,36
92105,37
92106,9
92107,3
92108,15
92109,25
92110,17
92111,18
92113,38
92114,30
92115,28
92116,35
92117,21
92118,4
92119,8
92120,20
92121,3
92122,14
92123,17
92124,14
92126,28
92127,20
92128,26
92129,18
92130,22
92131,6
92136,2
92139,20
92145,1
92154,41
92161,2
92168,1
92173,18
92196,1
TOTAL,1454
