County of San Diego,Count,Percentage** of Overall Total
Incorporated City,836,86.5%
Carlsbad,32,3.3%
Chula Vista,65,6.7%
Coronado,2,0.2%
Del Mar,5,0.5%
El Cajon,43,4.5%
Encinitas,25,2.6%
Escondido,23,2.4%
Imperial Beach,1,0.1%
La Mesa,12,1.2%
Lemon Grove,8,0.8%
National City,12,1.2%
Oceanside,22,2.3%
Poway,10,1.0%
San Diego,540,55.9%
San Marcos,12,1.2%
Santee,10,1.0%
Solana Beach,5,0.5%
Vista,9,0.9%
Unincorporated,101,10.5%
Bonita,6,0.6%
Fallbrook,6,0.6%
Lakeside,8,0.8%
Pauma Valley,2,0.2%
Ramona,4,0.4%
Rancho Santa Fe,14,1.4%
Spring Valley,21,2.2%
Other,40,4.1%
Unknown*,29,3.0%
Total San Diego County Residents,966,100.0%
