Zip Code,Count,"Rate per 100,000*"
91901,3,**
91902,23,132.4
91905,2,**
91910,87,105.2
91911,115,135.9
91913,57,115.1
91914,15,87.9
91915,34,114.1
91916,1,**
91932,18,63.9
91935,6,**
91941,18,52.5
91942,52,129.4
91945,25,93.2
91950,81,138.2
91963,2,**
91977,65,106.5
91978,7,**
91980,1,**
92003,1,**
92004,1,**
92007,4,**
92008,9,30.6
92009,18,41.5
92010,13,79.7
92011,10,41.9
92014,16,116.1
92019,55,124.1
92020,84,135.8
92021,87,128.1
92024,30,53.1
92025,32,62.1
92026,14,25.1
92027,31,57.8
92028,11,22.8
92029,13,63.5
92036,2,**
92037,34,79.8
92040,21,47.7
92054,12,28.6
92056,14,25.7
92057,20,35.6
92058,13,53.0
92059,2,**
92061,2,**
92064,23,45.7
92065,14,39.3
92066,2,**
92069,13,26.1
92071,28,49.3
92075,5,38.4
92078,17,34.1
92081,14,42.7
92082,5,28.7
92083,11,27.5
92084,22,44.6
92091,2,**
92093,4,**
92101,47,80.1
92102,39,90.8
92103,80,205.8
92104,48,92.3
92105,64,94.0
92106,9,40.9
92107,8,26.1
92108,34,123.9
92109,31,57.7
92110,27,90.2
92111,27,55.9
92113,70,138.7
92114,78,132.6
92115,47,75.6
92116,40,108.3
92117,31,59.6
92118,7,39.0
92119,15,63.2
92120,23,79.3
92121,3,**
92122,19,39.2
92123,20,60.8
92124,16,51.3
92126,48,62.6
92127,31,62.5
92128,41,80.9
92129,24,45.7
92130,29,48.8
92131,10,27.8
92136,4,**
92139,43,129.8
92140,13,**
92145,3,**
92154,173,211.9
92173,74,266.8
Unknown***,34,**
San Diego County Total,"2,643",79.2
