County of San Diego,Count,Percentage** of Overall Total
Incorporated City,"1,901",85.9%
Carlsbad,50,2.3%
Chula Vista,242,10.9%
Coronado,6,0.3%
Del Mar,11,0.5%
El Cajon,125,5.6%
Encinitas,34,1.5%
Escondido,66,3.0%
Imperial Beach,14,0.6%
La Mesa,44,2.0%
Lemon Grove,18,0.8%
National City,63,2.8%
Oceanside,50,2.3%
Poway,20,0.9%
San Diego,"1,068",48.3%
San Marcos,27,1.2%
Santee,23,1.0%
Solana Beach,6,0.3%
Vista,34,1.5%
Unincorporated,287,13.0%
Alpine,2,0.1%
Bonita,15,0.7%
Bonsall,1,0.05%
Borrego Springs,1,0.05%
Boulevard,1,0.05%
Campo,0,0.0%
Descanso,1,0.05%
Fallbrook,10,0.5%
Jamul,6,0.3%
Julian,1,0.05%
Lakeside,17,0.8%
Pauma Valley,2,0.1%
Potrero,1,0.05%
Ramona,11,0.5%
Ranchita,2,0.1%
Rancho Santa Fe,14,0.6%
Spring Valley,57,2.6%
Valley Center,4,0.2%
Other,141,6.4%
Unknown*,25,1.1%
Total San Diego County Residents,"2,213",100.0%
