Zip Code,Case Count
Zip Code,Case Count
91901,1
91902,16
91910,39
91911,38
91913,28
91914,7
91915,16
91916,1
91932,9
91935,3
91941,9
91942,20
91945,14
91950,28
91977,32
91978,5
92004,1
92007,4
92008,8
92009,17
92010,10
92011,8
92014,13
92019,35
92020,50
92021,45
92024,28
92025,13
92026,9
92027,13
92028,6
92029,12
92037,33
92040,14
92054,8
92056,12
92057,9
92058,7
92061,2
92064,16
92065,10
92066,2
92067,12
92069,10
92071,15
92075,4
92078,13
Zip Code,Case Count
92081,11
92082,3
92083,9
92084,10
92091,2
92093,4
92101,38
92102,21
92103,70
92104,36
92105,41
92106,9
92107,3
92108,17
92109,27
92110,17
92111,19
92113,40
92114,31
92115,31
92116,34
92117,21
92118,4
92119,9
92120,20
92121,3
92122,15
92123,17
92124,14
92126,31
92127,20
92128,26
92129,19
92130,22
92131,6
92136,3
92139,23
92154,48
92161,2
92173,20
TOTAL,1530
