County of San Diego,Count,Percentage** of Overall Total
Incorporated City,628,85.6%
Carlsbad,27,3.7%
Chula Vista,38,5.2%
Coronado,1,0.1%
Del Mar,5,0.7%
El Cajon,36,4.9%
Encinitas,20,2.7%
Escondido,11,1.5%
Imperial Beach,0,0.0%
La Mesa,8,1.1%
Lemon Grove,5,0.7%
National City,10,1.4%
Oceanside,17,2.3%
Poway,7,1.0%
San Diego,422,57.5%
San Marcos,5,0.7%
Santee,5,0.7%
Solana Beach,3,0.4%
Vista,8,1.1%
Unincorporated,70,9.5%
Bonita,3,0.4%
Fallbrook,4,0.5%
Lakeside,5,0.7%
Ramona,4,0.5%
Rancho Santa Fe,11,1.5%
Spring Valley,17,2.3%
Other,26,3.5%
Unknown*,36,4.9%
Total San Diego County Residents,734,100.0%
