County of San Diego,Count,Percentage** of Overall Total
Incorporated City,"2,083",85.6%
Carlsbad,50,2.1%
Chula Vista,273,11.2%
Coronado,7,0.3%
Del Mar,11,0.5%
El Cajon,140,5.8%
Encinitas,34,1.4%
Escondido,72,3.0%
Imperial Beach,16,0.7%
La Mesa,50,2.1%
Lemon Grove,19,0.8%
National City,70,2.9%
Oceanside,53,2.2%
Poway,21,0.9%
San Diego,"1,170",48.1%
San Marcos,27,1.1%
Santee,28,1.2%
Solana Beach,6,0.2%
Vista,36,1.5%
Unincorporated,330,13.6%
Alpine,3,0.1%
Bonita,19,0.8%
Bonsall,1,0.0%
Borrego Springs,1,0.0%
Boulevard,2,0.1%
Campo,0,0.0%
Descanso,1,0.0%
Fallbrook,11,0.5%
Jamul,6,0.2%
Julian,2,0.1%
Lakeside,18,0.7%
Pala,1,0.0%
Pauma Valley,2,0.1%
Potrero,2,0.1%
Ramona,12,0.5%
Ranchita,2,0.1%
Rancho Santa Fe,14,0.6%
Spring Valley,66,2.7%
Valley Center,5,0.2%
Other,162,6.7%
Unknown*,21,0.9%
Total San Diego County Residents,"2,434",100.0%
