County of San Diego,Count,Percentage** of Overall Total
Incorporated City,"1,318",86.1%
Carlsbad,43,2.8%
Chula Vista,133,8.7%
Coronado,4,0.3%
Del Mar,8,0.5%
El Cajon,88,5.8%
Encinitas,32,2.1%
Escondido,35,2.3%
Imperial Beach,9,0.6%
La Mesa,26,1.7%
Lemon Grove,14,0.9%
National City,28,1.8%
Oceanside,34,2.2%
Poway,16,1.0%
San Diego,783,51.2%
San Marcos,20,1.3%
Santee,16,1.0%
Solana Beach,5,0.3%
Vista,24,1.6%
Unincorporated,192,12.5%
Alpine,1,0.1%
Bonita,13,0.8%
Borrego Springs,1,0.1%
Descanso,1,0.1%
Fallbrook,6,0.4%
Jamul,3,0.2%
Lakeside,14,0.9%
Pauma Valley,2,0.1%
Ramona,10,0.7%
Ranchita,2,0.1%
Rancho Santa Fe,14,0.9%
Spring Valley,37,2.4%
Valley Center,3,0.2%
Other,85,5.6%
Unknown*,20,1.3%
Total San Diego County Residents,"1,530",100.0%
