Zip Code,Case Count
91901,1
91902,9
91909,1
91910,23
91911,21
91913,20
91914,2
91915,7
91916,1
91932,2
91935,1
91941,4
91942,12
91945,10
91950,17
91977,21
91978,2
92004,1
92007,4
92008,7
92009,16
92010,9
92011,5
92014,11
92019,21
92020,34
92021,28
92024,23
92025,11
92026,6
92027,7
92028,5
92029,9
92037,29
92039,1
92040,8
92054,7
92056,10
92057,7
92058,5
92061,2
92064,13
92065,6
92066,2
92067,12
92069,5
92071,12
92075,4
92078,9
92081,9
92082,1
92083,1
92084,9
92085,1
92091,1
92092,3
92093,1
92101,29
92102,14
92103,64
92104,31
92105,27
92106,7
92107,3
92108,15
92109,22
92110,15
92111,14
92113,26
92114,21
92115,19
92116,33
92117,18
92118,4
92119,4
92120,14
92121,3
92122,12
92123,17
92124,10
92126,21
92127,18
92128,25
92129,18
92130,21
92131,5
92139,17
92145,2
92147,1
92154,25
92159,1
92161,3
92168,1
92173,8
92196,1
TOTAL,1112
