Zip Code,Count,"Rate per 100,000*"
91901,4,**
91902,26,149.6
91905,2,**
91910,115,139.1
91911,142,167.8
91913,69,139.3
91914,16,93.7
91915,42,141.0
91916,1,**
91932,21,74.6
91935,6,**
91941,21,61.2
91942,54,134.4
91945,26,96.9
91950,110,187.7
91963,2,**
91977,70,114.6
91978,9,**
91980,1,**
92003,1,**
92004,1,**
92007,4,**
92008,9,30.6
92009,18,41.5
92010,13,79.7
92011,10,41.9
92014,17,123.3
92019,58,130.9
92020,95,153.6
92021,96,141.3
92024,30,53.1
92025,36,69.9
92026,18,32.2
92027,33,61.6
92028,11,22.8
92029,14,68.4
92036,2,**
92037,34,79.8
92040,22,50.0
92054,16,38.1
92056,14,25.7
92057,24,42.7
92058,15,61.2
92059,2,**
92061,1,**
92064,27,53.7
92065,14,39.3
92066,2,**
92067,12,**
92069,14,28.1
92071,28,49.3
92075,5,38.4
92078,17,34.1
92081,16,48.8
92082,5,28.7
92083,13,32.5
92084,25,50.7
92091,2,**
92093,4,**
92101,51,86.9
92102,44,102.4
92103,82,210.9
92104,50,96.1
92105,79,116.1
92106,9,40.9
92107,9,29.3
92108,37,134.9
92109,32,59.6
92110,31,103.6
92111,28,58.0
92113,87,172.4
92114,84,142.8
92115,51,82.0
92116,43,116.4
92117,33,63.5
92118,7,39.0
92119,18,75.8
92120,23,79.3
92121,3,**
92122,21,43.3
92123,24,73.0
92124,16,51.3
92126,55,71.7
92127,39,78.6
92128,45,88.8
92129,26,49.5
92130,31,52.2
92131,11,30.6
92134,1,**
92136,4,**
92139,49,148.0
92140,14,**
92145,3,**
92154,238,291.5
92173,90,324.4
Unknown***,60,**
San Diego County Total,"3,043",91.2
