County of San Diego,Count,Percentage** of Overall Total
Incorporated City,734,86.5%
Carlsbad,30,3.5%
Chula Vista,52,6.1%
Coronado,2,0.2%
Del Mar,5,0.6%
El Cajon,38,4.5%
Encinitas,24,2.8%
Escondido,14,1.6%
Imperial Beach,0,0.0%
La Mesa,11,1.3%
Lemon Grove,5,0.6%
National City,11,1.3%
Oceanside,20,2.4%
Poway,9,1.1%
San Diego,486,57.2%
San Marcos,10,1.2%
Santee,5,0.6%
Solana Beach,3,0.4%
Vista,9,1.1%
Unincorporated,87,10.2%
Bonita,6,0.7%
Fallbrook,4,0.5%
Lakeside,8,0.9%
Pauma Valley,1,0.1%
Ramona,4,0.5%
Rancho Santa Fe,12,1.4%
Spring Valley,18,2.1%
Other,34,4.0%
Unknown*,28,3.3%
Total San Diego County Residents,849,100.0%
