Zip Code,Case Count
Zip Code,Case Count
91901,1
91902,11
91909,1
91910,30
91911,29
91913,25
91914,4
91915,12
91916,1
91932,7
91935,2
91941,8
91942,17
91945,13
91950,25
91977,30
91978,4
92004,1
92007,4
92008,8
92009,17
92010,9
92011,8
92014,13
92019,30
92020,44
92021,33
92024,26
92025,12
92026,8
92027,7
92028,6
92029,10
92037,32
92039,1
92040,12
92054,8
92056,11
92057,8
92058,6
92061,2
92064,14
92065,8
92066,2
92067,12
92069,9
92071,15
92075,4
92078,12
Zip Code,Case Count
92081,10
92082,3
92083,6
92084,10
92085,1
92091,2
92093,4
92101,34
92102,17
92103,66
92104,33
92105,31
92106,9
92107,3
92108,15
92109,25
92110,15
92111,18
92113,35
92114,27
92115,25
92116,34
92117,19
92118,4
92119,8
92120,20
92121,3
92122,14
92123,17
92124,14
92126,26
92127,20
92128,26
92129,18
92130,22
92131,6
92136,2
92139,20
92145,1
92154,32
92161,2
92168,1
92173,17
92196,1
TOTAL,1404
