County of San Diego,Count,Percentage** of Overall Total
Incorporated City,980,88.1%
Carlsbad,37,3.3%
Chula Vista,75,6.7%
Coronado,4,0.4%
Del Mar,7,0.6%
El Cajon,60,5.4%
Encinitas,27,2.4%
Escondido,26,2.3%
Imperial Beach,2,0.2%
La Mesa,15,1.3%
Lemon Grove,10,0.9%
National City,18,1.6%
Oceanside,27,2.4%
Poway,13,1.2%
San Diego,614,55.2%
San Marcos,13,1.2%
Santee,12,1.1%
Solana Beach,5,0.4%
Vista,15,1.3%
Unincorporated,117,10.5%
Alpine,1,0.1%
Bonita,7,0.6%
Borrego Springs,1,0.1%
Descanso,1,0.1%
Fallbrook,5,0.4%
Jamul,1,0.1%
Lakeside,8,0.7%
Pauma Valley,2,0.2%
Ramona,6,0.5%
Ranchita,2,0.2%
Rancho Santa Fe,13,1.2%
Spring Valley,23,2.1%
Valley Center,1,0.1%
Other,46,4.1%
Unknown*,15,1.3%
Total San Diego County Residents,"1,112",100.0%
