County of San Diego,Count,Percentage* of Total,"Rate per 100,000 population**"
Incorporated City,"2,786",85.1%,98.6
Carlsbad,51,1.6%,44.5
Chula Vista,421,12.9%,157.4
Coronado,8,0.2%,36.9
Del Mar,12,0.4%,***
El Cajon,189,5.8%,179.1
Encinitas,34,1.0%,53.8
Escondido,95,2.9%,62.7
Imperial Beach,24,0.7%,85.2
La Mesa,73,2.2%,119.2
Lemon Grove,33,1.0%,123.0
National City,118,3.6%,189.5
Oceanside,70,2.1%,39.5
Poway,31,0.9%,61.7
San Diego,"1,512",46.2%,106.5
San Marcos,29,0.9%,30.3
Santee,30,0.9%,52.6
Solana Beach,6,0.2%,43.0
Vista,50,1.5%,48.4
Unincorporated,488,14.9%,95.1
Alpine,4,0.1%,***
Bonita,25,0.8%,199.4
Bonsall,2,0.1%,***
Borrego Springs,1,0.0%,***
Boulevard,2,0.1%,***
Campo,0,0.0%,***
Descanso,1,0.0%,***
Fallbrook,14,0.4%,45.9
Jamul,7,0.2%,***
Julian,2,0.1%,***
Lakeside,22,0.7%,106.5
Pala,2,0.1%,***
Pauma Valley,1,0.0%,***
Potrero,2,0.1%,***
Ramona,16,0.5%,78.8
Ranchita,2,0.1%,***
Rancho Santa Fe,14,0.4%,***
Santa Ysabel,1,0.0%,***
Spring Valley,88,2.7%,312.0
Tecate,1,0.0%,***
Valley Center,5,0.2%,***
Other,276,8.4%,
Unknown****,40,,
Total San Diego County,"3,314",100.0%,99.3
