Zip Code,Case Count
91902,8
91909,1
91910,17
91911,13
91913,14
91914,2
91915,4
91941,4
91942,8
91945,5
91950,10
91977,16
91978,2
92007,4
92008,7
92009,12
92010,6
92011,6
92014,8
92019,16
92020,22
92021,16
92024,20
92025,5
92026,3
92027,5
92028,4
92029,5
92037,29
92039,1
92040,8
92054,7
92056,7
92057,5
92058,3
92061,1
92064,9
92065,4
92067,11
92069,5
92071,5
92075,2
92078,6
TOTAL,849
92081,5
92083,1
92084,8
92091,1
92092,2
92093,1
92101,27
92102,10
92103,58
92104,23
92105,22
92106,6
92107,3
92108,13
92109,20
92110,13
92111,8
92113,19
92114,12
92115,14
92116,27
92117,11
92118,2
92119,4
92120,9
92121,3
92122,9
92123,14
92124,6
92126,15
92127,13
92128,17
92129,12
92130,20
92131,4
92139,13
92145,2
92147,1
92154,20
92168,2
92173,5
92196,1
