County of San Diego,Count,Percentage** of Overall Total
Incorporated City,"1,645",85.2%
Carlsbad,49,2.5%
Chula Vista,202,10.5%
Coronado,6,0.3%
Del Mar,10,0.5%
El Cajon,113,5.9%
Encinitas,34,1.8%
Escondido,52,2.7%
Imperial Beach,11,0.6%
La Mesa,38,2.0%
Lemon Grove,15,0.8%
National City,49,2.5%
Oceanside,41,2.1%
Poway,19,1.0%
San Diego,925,47.9%
San Marcos,25,1.3%
Santee,20,1.0%
Solana Beach,6,0.3%
Vista,30,1.6%
Unincorporated,255,13.2%
Alpine,1,0.1%
Bonita,14,0.7%
Bonsall,1,0.1%
Borrego Springs,1,0.1%
Boulevard,1,0.1%
Descanso,1,0.1%
Fallbrook,10,0.5%
Jamul,5,0.3%
Lakeside,15,0.8%
Pauma Valley,2,0.1%
Potrero,1,0.1%
Ramona,11,0.6%
Ranchita,2,0.1%
Rancho Santa Fe,14,0.7%
Spring Valley,50,2.6%
Valley Center,3,0.2%
Other,123,6.4%
Unknown*,30,1.6%
Total San Diego County Residents,"1,930",100.0%
