Zip Code,Count,"Rate per 100,000*"
91901,4,**
91902,27,155.4
91905,2,**
91910,116,140.3
91911,148,174.9
91913,70,141.4
91914,16,93.7
91915,42,141.0
91916,1,**
91932,23,81.7
91935,6,**
91941,21,61.2
91942,55,136.9
91945,28,104.3
91950,114,194.5
91963,2,**
91977,73,119.6
91978,9,**
91980,1,**
92003,1,**
92004,1,**
92007,4,**
92008,9,30.6
92009,18,41.5
92010,13,79.7
92011,10,41.9
92014,17,123.3
92019,58,130.9
92020,96,155.2
92021,104,153.1
92024,30,53.1
92025,37,71.8
92026,18,32.2
92027,33,61.6
92028,11,22.8
92029,14,68.4
92036,2,**
92037,35,82.2
92040,22,50.0
92054,15,35.8
92056,14,25.7
92057,26,46.2
92058,15,61.2
92059,2,**
92061,1,**
92064,28,55.6
92065,14,39.3
92066,2,**
92067,12,**
92069,14,28.1
92071,28,49.3
92075,5,38.4
92078,17,34.1
92081,16,48.8
92082,5,28.7
92083,14,35.0
92084,25,50.7
92091,2,**
92093,4,**
92101,53,90.4
92102,47,109.4
92103,82,210.9
92104,50,96.1
92105,83,122.0
92106,9,40.9
92107,9,29.3
92108,38,138.5
92109,32,59.6
92110,32,106.9
92111,28,58.0
92113,91,180.3
92114,84,142.8
92115,53,85.2
92116,44,119.1
92117,33,63.5
92118,8,44.6
92119,18,75.8
92120,23,79.3
92121,3,**
92122,21,43.3
92123,24,73.0
92124,16,51.3
92126,55,71.7
92127,39,78.6
92128,45,88.8
92129,26,49.5
92130,31,52.2
92131,11,30.6
92134,1,**
92136,4,**
92139,51,154.0
92140,16,**
92145,4,**
92154,273,334.4
92173,94,338.8
Unknown***,60,**
San Diego County Total,"3,141",94.1
