Zip Code,Case Count
91901,1
91902,16
91905,1
91910,44
91911,52
91913,34
91914,8
91915,20
91916,1
91932,10
91935,4
91941,12
91942,25
91945,14
91950,33
91977,37
91978,5
92004,1
92007,4
92008,9
92009,17
92010,13
92011,9
92014,13
92019,39
92020,56
92021,55
92024,29
92025,20
92026,10
92027,16
92028,8
92029,12
92037,34
92040,14
92054,8
92056,13
92057,10
92058,7
92061,2
92064,17
92065,10
92066,2
92067,12
92069,11
92071,16
92075,4
92078,14
92081,13
92082,3
92083,10
92084,11
92091,2
92093,4
92101,39
92102,22
92103,70
92104,38
92105,45
92106,9
92107,4
92108,20
92109,29
92110,17
92111,21
92113,44
92114,47
92115,36
92116,35
92117,23
92118,5
92119,11
92120,20
92121,3
92122,15
92123,17
92124,15
92126,34
92127,20
92128,27
92129,19
92130,24
92131,6
92136,3
92139,27
92154,58
92161,2
92173,23
TOTAL,1693
