Zip Code,Count,"Rate per 100,000*"
91901,3,**
91902,23,132.4
91905,2,**
91910,75,90.7
91911,108,127.6
91913,52,105.0
91914,14,82.0
91915,34,114.1
91916,1,**
91932,17,60.4
91935,6,**
91941,18,52.5
91942,37,92.1
91945,22,82.0
91950,72,122.9
91963,2,**
91977,61,99.9
91978,7,**
92003,1,**
92004,1,**
92007,4,**
92008,9,30.6
92009,18,41.5
92010,13,79.7
92011,10,41.9
92014,16,116.1
92019,54,121.9
92020,79,127.7
92021,78,114.8
92024,30,53.1
92025,32,62.1
92026,14,25.1
92027,29,54.1
92028,10,20.7
92029,13,63.5
92036,2,**
92037,34,79.8
92040,18,40.9
92054,12,28.6
92056,15,27.6
92057,17,30.2
92058,14,57.1
92059,2,**
92061,2,**
92064,22,43.7
92065,12,33.7
92066,2,**
92067,12,**
92069,13,26.1
92071,27,47.5
92075,5,38.4
92078,17,34.1
92081,14,42.7
92082,5,28.7
92083,11,27.5
92084,21,42.5
92091,2,**
92093,4,**
92101,46,78.4
92102,35,81.5
92103,78,200.6
92104,48,92.3
92105,64,94.0
92106,9,40.9
92107,8,26.1
92108,32,116.7
92109,31,57.7
92110,27,90.2
92111,25,51.7
92113,68,134.8
92114,72,122.4
92115,46,74.0
92116,39,105.6
92117,29,55.8
92118,7,39.0
92119,15,63.2
92120,22,75.8
92121,3,**
92122,19,39.2
92123,19,57.8
92124,16,51.3
92126,47,61.3
92127,29,58.5
92128,40,78.9
92129,24,45.7
92130,29,48.8
92131,10,27.8
92136,4,**
92139,41,123.8
92140,13,**
92145,3,**
92154,137,167.8
92173,69,248.7
Unknown***,39,**
San Diego County Total,"2,491",74.6
