County of San Diego,Count,Percentage** of Overall Total
Incorporated City,"1,846",85.5%
Carlsbad,50,2.3%
Chula Vista,234,10.8%
Coronado,6,0.3%
Del Mar,11,0.5%
El Cajon,122,5.7%
Encinitas,34,1.6%
Escondido,62,2.9%
Imperial Beach,14,0.6%
La Mesa,44,2.0%
Lemon Grove,18,0.8%
National City,59,2.7%
Oceanside,48,2.2%
Poway,20,0.9%
San Diego,1036,48.0%
San Marcos,27,1.3%
Santee,23,1.1%
Solana Beach,6,0.3%
Vista,32,1.5%
Unincorporated,281,13.0%
Alpine,2,0.1%
Bonita,15,0.7%
Bonsall,1,0.0%
Borrego Springs,1,0.0%
Boulevard,1,0.0%
Campo,0,0.0%
Descanso,1,0.0%
Fallbrook,10,0.5%
Jamul,6,0.3%
Lakeside,18,0.8%
Pauma Valley,2,0.1%
Potrero,1,0.0%
Ramona,11,0.5%
Ranchita,2,0.1%
Rancho Santa Fe,14,0.6%
Spring Valley,56,2.6%
Valley Center,4,0.2%
Other,136,6.3%
Unknown*,31,1.4%
Total San Diego County Residents,"2,158",100.0%
