County of San Diego,Count,Percentage* of Overall Total,"Rate per 100,000 population**"
Incorporated City,"2,567",84.4%,90.9
Carlsbad,50,1.6%,43.6
Chula Vista,387,12.7%,144.7
Coronado,7,0.2%,32.3
Del Mar,12,0.4%,***
El Cajon,172,5.7%,162.9
Encinitas,34,1.1%,53.8
Escondido,85,2.8%,56.1
Imperial Beach,21,0.7%,74.6
La Mesa,70,2.3%,114.3
Lemon Grove,26,0.9%,96.9
National City,106,3.5%,170.3
Oceanside,67,2.2%,37.8
Poway,27,0.9%,53.8
San Diego,"1,394",45.8%,98.2
San Marcos,28,0.9%,29.2
Santee,29,1.0%,50.9
Solana Beach,6,0.2%,43.0
Vista,46,1.5%,44.5
Unincorporated,428,14.1%,83.4
Alpine,4,0.1%,***
Bonita,23,0.8%,183.4
Bonsall,1,0.0%,***
Borrego Springs,1,0.0%,***
Boulevard,2,0.1%,***
Campo,0,0.0%,***
Descanso,1,0.0%,***
Fallbrook,12,0.4%,39.3
Jamul,6,0.2%,***
Julian,2,0.1%,***
Lakeside,22,0.7%,106.5
Pala,2,0.1%,***
Pauma Valley,1,0.0%,***
Potrero,2,0.1%,***
Ramona,14,0.5%,69.0
Ranchita,2,0.1%,***
Rancho Santa Fe,14,0.5%,***
Spring Valley,79,2.6%,280.1
Tecate,1,0.0%,***
Valley Center,5,0.2%,***
Other,234,7.7%,
Unknown****,48,1.6%,
Total San Diego County,"3,043",100.0%,91.2
