Zip Code,Case Count
Zip Code,Case Count
91901,1
91902,10
91909,1
91910,28
91911,26
91913,23
91914,4
91915,12
91916,1
91932,6
91935,1
91941,8
91942,12
91945,12
91950,19
91977,25
91978,3
92004,1
92007,4
92008,8
92009,17
92010,9
92011,7
92014,13
92019,27
92020,42
92021,30
92024,25
92025,12
92026,8
92027,7
92028,6
92029,9
92037,32
92039,1
92040,10
92054,8
92056,11
92057,8
92058,5
92061,2
92064,13
92065,7
92066,2
92067,12
92069,7
92071,15
92075,4
92078,11
Zip Code,Case Count
92081,10
92082,3
92083,3
92084,10
92085,1
92091,2
92093,4
92101,34
92102,16
92103,66
92104,33
92105,30
92106,9
92107,3
92108,15
92109,25
92110,15
92111,17
92113,32
92114,24
92115,23
92116,34
92117,19
92118,4
92119,6
92120,19
92121,3
92122,14
92123,16
92124,13
92126,24
92127,20
92128,25
92129,18
92130,22
92131,6
92136,2
92139,20
92145,1
92154,31
92161,2
92168,1
92173,13
92196,1
TOTAL,1326
