Zip Code,Case Count
Zip Code,Case Count
91901,1
91902,16
91905,1
91910,43
91911,47
91913,32
91914,8
91915,19
91916,1
91932,10
91935,4
91941,12
91942,22
91945,14
91950,32
91977,34
91978,5
92004,1
92007,4
92008,8
92009,17
92010,10
92011,8
92014,13
92019,37
92020,53
92021,51
92024,28
92025,14
92026,10
92027,15
92028,7
92029,12
92037,33
92040,13
92054,8
92056,12
92057,9
92058,7
92061,2
92064,16
92065,10
92066,2
92067,12
92069,10
92071,16
92075,4
92078,14
Zip Code,Case Count
92081,11
92082,3
92083,10
92084,11
92091,2
92093,4
92101,38
92102,22
92103,70
92104,36
92105,44
92106,9
92107,3
92108,20
92109,28
92110,17
92111,20
92113,41
92114,42
92115,35
92116,34
92117,23
92118,5
92119,9
92120,20
92121,3
92122,15
92123,17
92124,15
92126,32
92127,20
92128,26
92129,19
92130,23
92131,6
92136,3
92139,27
92154,56
92161,2
92173,21
TOTAL,1628
