County of San Diego,Count,Percentage** of Overall Total
Incorporated City,255,85.9%
Carlsbad,16,5.4%
Chula Vista,13,4.4%
Del Mar,5,1.7%
El Cajon,13,4.4%
Encinitas,8,2.7%
Escondido,6,2.0%
La Mesa,1,0.3%
Lemon Grove,1,0.3%
National City,5,1.7%
Oceanside,7,2.4%
Poway,3,1.0%
San Diego,169,56.9%
San Marcos,3,1.0%
Santee,1,0.3%
Solana Beach,1,0.3%
Vista,3,1.0%
Unincorporated,18,6.1%
Bonita,1,0.3%
Fallbrook,2,0.7%
Jamul,1,0.3%
Lakeside,2,0.7%
Ramona,2,0.7%
Rancho Santa Fe,5,1.7%
San Ysidro,1,0.3%
Spring Valley,4,1.3%
Unknown*,4,1.3%
Total San Diego County Residents,277,93.3%
Non-San Diego County Residents,20,6.7%
OVERALL TOTAL,297,100%
